Date,Open,High,Low,Close,Volume
7/11/2012,297.75,301.75,296.881012,300.549988,4695264
8/11/2012,296.5,298.069,295.625,296.912994,5229160
9/11/2012,295.625,295.625,293.125,293.587006,5938920
12/11/2012,294.375,296.125,291.694,294.868988,3696192
15-11-2012,291.894012,292.125,284.850006,287.037994,9133048
16-11-2012,286.375,298.375,286.375,292.919006,13693104
19-11-2012,293,297.649994,292.080994,294.819,4036128
20-11-2012,297.144012,297.144012,289.100006,290.593994,5440304
21-11-2012,291.212006,295.487,290.174988,293.730988,6989808
22-11-2012,293.5,299,291.875,297.825012,5827312
23-11-2012,297.75,299.875,294.631012,297.194,3477736
26-11-2012,298.843994,302.625,298.843994,302.174988,3788056
27-11-2012,302.75,310,302.730988,308.830994,5717304
29-11-2012,306.25,307.406006,303.312012,305.656006,10365096
30-11-2012,305.200012,309.556,303.131012,304.605988,7050712
3/12/2012,304.625,306.625,303.044006,304.894012,5202984
4/12/2012,303.625,305.875,301.875,304.681,4510288
5/12/2012,303.625,303.75,297.187988,297.812012,13995024
6/12/2012,299.25,299.25,289.243988,292.287994,11011928
7/12/2012,290.125,293.562012,288.888,290.144012,9485912
10/12/2012,290.118988,293,287.375,289.194,6829920
11/12/2012,289.5,292.006012,285.355988,286.756012,11384424
12/12/2012,288.75,290.475006,285.781006,287.225006,15359688
13-12-2012,288.118988,289.205994,284.049988,285.444,9967112
14-12-2012,284.125,286.881012,283.25,284.850006,8507992
17-12-2012,283.375,286.480988,282.118988,283.281006,10961640
18-12-2012,282.5,284.274994,280.625,283.875,8292000
19-12-2012,284.25,287.487,283.756012,287.019012,9991896
20-12-2012,288.263,288.75,284.75,287.450012,8441728
21-12-2012,287.375,290.162994,285.850006,287.105988,6924016
24-12-2012,290.138,291.049988,289.125,290.287994,4323992
26-12-2012,290.375,291.362,288.044006,289.406006,3263560
27-12-2012,290.975006,291.125,284.580994,285.968994,8110232
28-12-2012,287.763,290.687988,286.056,290.399994,7064256
31-12-2012,289.375,290.513,287.962006,289.837006,3451824
1/1/2013,290.950012,291.237,288.194,288.605988,2959992
2/1/2013,289.524994,291,287.937988,288.649994,4349944
3/1/2013,289.375,293.605988,288.875,292.237,10599288
4/1/2013,293.549988,294.368988,291.5,293.694,8454008
7/1/2013,293.888,297.487,291.944,296.850006,8761624
8/1/2013,295.625,295.993988,290.437988,293,12867424
9/1/2013,292.524994,295.225006,290.412994,291.375,6149968
10/1/2013,291.375,292.830994,288.649994,290.287994,10901016
11/1/2013,315.125,340.25,315.125,339.013,92852568
14-01-2013,344.975006,354.618988,344.031006,350.812012,50924760
15-01-2013,350.75,351.181,346.812012,348.381012,20377880
